comment	rating
Nghiện cf thấy thơm, trên bao có lỗ nhỏ ko biết bị gì hay kiểu nó thế	5
Sản phẩm chất lương hình ảnh chỉ mang tính chất spsksjsjskkssmnssnsbvdbđm	5
Thương hiệu cao cấp mà gí thành lại hợp lý vào thời điểm này. Phục vụ chuyên nghiêp. Đã mua mấy lần và ko có gì để bàn. 5 sao	5
Cà phê bóc ra có mùi rất thơm cực kỳ hấp dẫn. Cà phê có vị đắng của Robusta uống ngon và không có cảm giác bị pha tạp như cà phê Trung Nguyên.  Mình mua được lúc giá sale nên mình thấy giá quá rẻ so với chất lượng. Tiếc là không đặt luôn 2 kg. Muốn mua thêm nhưng hết sale đành uống và canh sale trong lúc chưa uống hết vậy  :)	5
Tuy rằng mua hàng online, nhưng hàng đúng chuẩn cà phê highlands mình yêu thích nhất, mùa dịch chỉ cần ở đặt hàng tiki giao tận nơi, còn gì bằng nữa cả nhà ơi ?	5
Thùng hàng giao bị rách, bao cf cũng bị rách, cf đổ ra thùng hàng! Rất thất vọng	5
Hàng giao nhanh, sản phẩm đúng như trong mô tả, đóng gói đẹp, chất lượng.	5
Chất lượng cà phê uống được, đậm đà, loại robusta, giá bình dân vừa phải. Mùa dịch phải  ở nhà làm việc, tự pha cà phê, chất lượng và giá như  vây là ổn. Tôi đã đặt mua thêm bịch thứ hai.	5
Đóng gói đẹp. Giao hàng uy tín. Còn ngon hay dở tuỳ khẩu vị nỗi người :3 so với giá thành thì đây là sự lựa chọn chất lượng nhất	5
dịch bệnh giãn cách xã hội mà tiki ship siêu nhanh 🥰 cà phê thơm lừng và chất bột bông nhẹ không vón, chất lượng 👍🏻👍🏻👍🏻	5
Giao hàng nhanh trong lúc khó khăn. Hàng của tiki trading nên đóng gói kỹ càng, chất lượng tin tưởng. Anh shipper thân thiện nhiệt tình.	5
"Bao bì đẹp, đóng gói xịn, ship nhanh.
Đặt 1kg mà to hơn mình nghĩ, như bao gạo vậy :)) còn đc tặng thêm gói nhỏ nữa. mình vẫn k biết 2 loại vỏ sáng màu với tối màu khác nhau gì."	5
Thiếu gì cũng được, nhưng ko thể thiếu cà phê ngay mùa dịch này! Mình đã khui ra mùi rất thơm, hơn hẳn gói nhỏ 200gr! Gu của mình là cà phê phải thơm, vị hậu ko chua :)	5
Ngon , thơm , giao hàng nhanh trong 1nốt nhạc	5
Đã nhận được sản phẩm đúng như mô tả. Loại truyền thống Highland nhà mình chuyên dùng. Giá flash sale 183/kg, còn được tặng kèm túi nhỏ 200gram, rẻ hơn mua ở Aeon mall nhiều. Cảm ơn Tiki.vn rất nhiều!	5
giá quá rẻ , sản phẩm chính hãng mà giao nhanh , ở nhà chống dịch mà ko lo buồn..... ngủ	5
Giao hàng rất nhanh mặc dù trong mùa dịch, mình rất thích uống cf Highland, giờ dịch fai mua về tự pha uống. Hy vọng sẽ ngon như khi uống highland;))	5
Mùi vị thơm ngon	5
Giao hàng rất nhanh dù trời đang mưa gió. Đóng gói cũng siêu cẩn thận	5
sản phẩm đóng gói cẩn thận, giao hàng nhanh chóng được miễn phí quá tuyệt vời.	5
Tuyệt vời, giá cả phải chăng. Hạn sừ dụng còn mới. Đóng gói và giao hàng cực nhanh 2h mà lại miễn phí. Rất hài lòng với sản phẩm.	5
Đã nhận được cà phê, rất thơm luôn. Có điều vì dịch nên vận chuyển khá lâu và phải đi lên bưu cục để nhận.	5
"1. Giao hàng nhanh, thân thiện
2. sp còn HSD lâu
3. chất lượng thì mình là fan của highland từ lâu nên ko còn gì để chê hihi"	5
hàng đúng chất lượng, tuy nhiên đóng gói không kỹ, bao bì bị rách, vẫn đánh giá 5*, shop để ý lại khâu đóng gói. Cám ơn.	5
Giao đúng sản phẩm. Giá rẻ và chất lượng. Đóng gói sản phẩm chắc chắn. Sẽ mua tiếp lần sau	5
Ngon, vị mìn thích. Giao hành nhanh tuân thủ chống dịch	5
Rất ngon, hợp gu mình, đóng gói bao bì đẹp, có gọng kim loại để dễ dàng đóng miệng túi sau khi dùng	5
Sản phẩm như mô tả, giao hàng nhanh.	5
Hương cà phê thơm ngon đúng vị truyền thống. Tiki giao nhanh, sản phẩm đóng gói kỹ càng. Hài lòng	5
"Hello nhà cung cấp, cho mình hỏi là đơn hàng này đã được hủy mà mình chưa nhận lại khoản tiền trả lại. Có gì bạn giúp mình nha! Thanks bạn

SKU:4339225856571"	5
giao nhanh trong 2h hàng gói rất đẹp còn bên trong thì chưa mở nhưng shop có tặng quà nên cũng rất zui	5
"Sản phẩm đúng mẫu. Date tới tháng 11/2022.
Shop phục vụ nhanh, đặt hôm qua, hôm nay đã nhận hàng."	5
Cf ngon,mạnh, tỉnh, giao nhanh, giá tốt	5
Giao Nhanh giữa mùa dịch mình lo ko có hàng bán. Giá lại rẻ nữa sau lại ủng hộ Tiki	5
Mua cf đúng đợt mua 1 tặng 1 nhưng không dc tặng thêm gì, thùng thì rách, tiki gói hàng dạo này chán, riêng bản thân cf vẫn chất lượng nha	5
"Hàng giao nhanh hơn dự kiến
giá rẻ hơn sale 9/9
Chất lượng thì phải thử đã 😉"	5
Giờ mới biết cafe hightland có trên Tiki. Dịch mà thèm cafe thì Tiki now trong ngày là có thật là tuyệt. vô cùng thích dịch vụ tiki now của tiki.	5
mua dc giá km mà còn dc tặng thêm gói nhỏ cực hời luôn.dịch mà ship siêu nhanh	5
Okkkkkkkkkk hàng tốt lắm giao hàng hơi lâuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu	5
ok. thơm. ngon. cảm ơn tiki. 👌😅😭🙏🏠🙏😭🙏😂😭🙏😂🙏🏠🌼😅😂🙏	5
Giao siêu nhanh, sản phẩm đóng bao bì đẹp tốt. Cà phê rất thơm, Cảm ơn các bạn	5
Hộp hơi móp chút nhưng bên trong còn nguyên. Date xa ^^ uống chắc cả năm mới hết	5
đã nhận được cà phê sau   2 tiếng đặt, đúng highlands 1 kg ,để dùng mới bik	5
giao nhanh đóng gói kĩ	5
Mùa dịch mà giao hàng rất nhanh luôn, chỉ 3 ngày sau khi đặt hàng. Cảm ơn Tiki!	5
giao hàng nhanh	5
thơm ngon	5
chưa dùng nên chưa biết thế nào. hy vọng thơm ngon đậm đà. giao hàng nhanh	5
Đã nhận hàng , do dịch nên hơi chậm . Hàng chất lượng . Cảm ơn	5
cf này có vẻ đen hơn loại gói 200g . không biết có phải cháy hơn k	5
Giao hàng nhanh giá phải chăng 😅😅😅 mùa covid có highland uống quá tuyệt	5
Cà phê thơm ngon rất đáng giá, giao hàng nhanh dù miễn phí ship.	5
mới đặt hôm trước gói 1kg. hôm sau bán lại tặng kèm bịt nhỏ. uổn ghê. biết vậy mua trễ. 1kg bịch hơi bị bự lun á	5
Chưa uống thử nhưng thấy to vãi :))))) với một đứa nghiện cf như mình thì thấy sướng. Hy vọng đúng khẩu vị mình muốn	5
Vị truyền thống ok. Mà phải pha nhiều chút, cà phê chảy hơi nhanh.	5
	5
Đúng vị thích, khá hấp dẫn dù pha nhà ko bằng ở quán.	5
đóng gói chuẩn, giao hàng nhanh, thông báo trước khi giao hàng, hàng đạt yêu cầu. hài lòng.	5
Giao nhanh, dong goi can than. Gia tot, cafe uong vua mirng, thom ngon	5
quá ưng luôn. Km còn 160k tặng thêm bịch nhỏ 40k.	5
Bịch cafe bự chảng, giao hàng nhanh hơn dự kiến	5
	5
Ship hàng siêu nhanh. Dù dịch nhưng 3 ngày đã nhân được hàng. Bên *** càng giao hàng lâu lắc. Bịch siêu to khổng lồ nha.	5
Bịch 1kg thật nhiều, luôn thích cafe của highlands	5
Giao hàng nhanh, đóng gói cẩn thận, cafe thơm ngon	5
vị khá đậm phù hợp uống cafe phin kiểu truyền thống, cafe khá thơm. hàng mới sx t8 2021 nên date còn khá dài	5
Cà phê ngon đã sử dụng nhìu ở tại cửa hàng mua ở tiki rẻ hơn, nhiều người không biết thấy nước màu hơi nhạt nhưng thật sự cà phê mạnh uống nhiều bị say luôn	5
chú Shipper Phú Thuận Q7 của Tiki xịn thực xịn	5
Shop uy tín, hàng ngon chất lượng.giá săn sale tốt cực kì	5
cà phê thơm, giao hàng nhanh, sẽ tiếp tục ủng hộ	5
Cafe Highland luôn ngon, chất lượng khỏi bàn, giao hàng quá lâu do dịch nhưng hạn dùng vẫn còn xa nên ok	5
"Giao nhanh là 1 yếu tố chọn lựa Tiki
Sản phẩm date mới trong vòng 1 tuần là niềm tin vào sản phẩm"	5
giao đủ hàng đủ loại giá cạnh tranh	5
cà phê uống phê. cảm ơn shop và tiki	5
Cà phê có hương vị rất ngon,đậm đà🥰	5
đúng như mô tả, luôn tin tưởng tiki trading	5
Cafe rất ngon, thơm. Pha cold brew cũng thơm	5
"Giao cực nhanh luôn ạ, mình ở Nhà Bè, mua ở đâu ng ta cũng k ship, mỗi Tiki.
Cảm ơn Tiki thật nhiều ạ!"	5
giao khá lâu. may hsd lâu nên ok 5 sao	5
chưa uống. giao hàng nhanh. bao bì đẹp ❤	5
Giao hàng nhanh, măc dù đang giãn cách.	5
Hàng chuẩn các ông ơi. Date mới	5
chưa thử nhưng nhìn hấp dẫn	5
đóng gói cẩn thận, giao hàng nhanh. date 2022	5
Sản phẩn tốt, giao hàng nhanh	5
Hàng đúng như shop quảng cáo	5
Cà phê ngon. Mùa dịch ở nhà nhâm nhi	5
chuẩn mùa giãn cách 👍🏻	5
cà phê thơm rất thơm. phin đậm đặc uống xong cảm giác đời hư ảo đưa em vào cơn mê	5
Cà phê nhon thiệt nhon lần sau sẽ ủng hộ nữa	5
Sp OK. Hạn dùng đến tháng 2/2023	5
tiki giao hàng siêu nhanh. vị cafe khá ổn	5
giá rẻ mà chất lượng tuyệt vời	5
càfe ok lắm giao hàng nhanh. đóng gói kỉ	5
sản phẩm như hình, mùi thơm	5
bao bì đẹp, giao đúng hàng, mà sản phẩm khuyến mãi sao ko giao cùng một đơn cho gọn thks	5
"Hàng ngon!
Giao nhanh"	5
cà phê ngon, giao rất nhanh.	5
giao hàng nhanh, uống cũng dc	5
Đã nhận hàng, giao nhanh Ok	5
Lúc mình mua có để tặng kèm bịch càphe 200gam nhưng giao thì lại ko có là sao	5
Giao hàng quá nhanh, mua đợt khuyến mãi nên chỉ có 175k còn tăng thêm gói 200g	5
chất lượng tuyệt vời	5
Giao hoả tốc, ngon :)	5
cà phê thơm, kích cỡ hạt được xay ra khá đều, đặt mua túi 1kg thấy hơi nhiều so với nhu cầu gia đình	5
cafe uống khá	5
Giao hàng nhanh.	5
Đóng gói đẹp, chưa pha uống nên chưa biết chất lượng. Tin là thơm ngon.	5
Chất lượng như hình	5
Cfe ngon. Giá tốt	5
Cà phê ngon ☕	5
Chưa sử dụng nên chưa biết chất lượng nhưng rất hài lòng với shop.	5
Đc của nó đấy	5
Hàng đúng loại, đóng gói kỹ. Mùa dịch mà vẫn cố gắng ship. Rất thích.	5
cafe mạnh dữ vậy	5
Sản phẩm chất lượng, mình mua làm quà cho bạn ở nước ngoài, bạn mình rất thích	5
Giá cực kì tốt	5
Mùa dịch ở đn mà tiki giao hàng sau 1 ngày đặt. Rất nhanh, cảm ơn nhiều ạ.	5
Giá tốt	5
đã nhận hàng	5
Vừa hết 1 bịch, đã order thêm 2 bịch mà giao từ đà nẵng nên h chưa có :(	5
đóng gói sản phẩm cẩn thận. caphe này mình đã dùng từ lâu rồi. ngon.	5
giao hàng nhanh.	5
ok	5
Sản phẩm đóng góp cẩn thận, vị cà phê khá ok, phù hợp cho người thích uống cà phê ở nhà	5
Ngon	5
Ngon bổ rẻ 😂	5
Bản thân cũng thường xuyên uống tại quán, nên thích vị cafe HL	5
	5
Cf ngon nè! Mới mua thiêm :))	5
Sản phẩm tốt, đúng như quảng cáo, vị đậm, giao hàng nhanh.	5
đã nhận	5
to vật	5
"Cf ngon
Háhhsnbdjsgwjxgwnbncd"	5
"Mùa dịch mua về tự pha chế, cà phê thơm ngon.
Đóng gói cẩn thận."	5
Mua kmai 179k gói này đc tặng thêm gói nhỏ. ngon rẻ giao nhanh 2h.	5
quá ngon	5
Rất thích. Dịch nên chờ siêu lâu. Chắc 3 tuần mới có hàng	5
ok	5
Đúng gu cafe của mình, từ ngày uống cafe này chuyển sang uống cafe k đc luôn mới ghê chứ 😂	5
	5
giao gàng đúng sản phẩm lại được tặng thêm gói 200g thích ghê	5
	5
	5
dong goi tot. chua dung nen ko biet co bang chat luong nhu tai quan hay ko.	5
	5
cafe ngon nhưng Tiki giao siêu chậm, đặt gần 1 tháng mới giao	5
Cậu giao hàng lễ phép nói chuyện rất dễ thương	5
Vị ok	5
Giao nhanh. Chưa dùng nên chưa biết chất lượng.	5
Tôi đã nhận đuoc hàng va đã dùng cảm nhận cafe rất ngon	5
giao hàng nhanh, date mới.Thanks shop.sẽ ủng hộ tiếp	5
Đặt tối muộn đến trưa ngày sau giao rồi, giao hàng nhanh	5
Vì mình thường uống loại cà phê này và giao nhận ok	5
date mới, hàng chính hãng. nên mua các bn nhé	5
Hàng chất lượng như hình ảnh QC trên App. Tks	5
Cafe ngon nha mọi người. Nên mua! Đã uống và cảm nhận	5
dạ ngon ạ, còn ko ngon chắc là do mình pha chế	5
	5
giá quá tốt. còn đx tặng thêm gói 200gr	5
Đúng chất lượng cuat highland. dùng tốt.	5
Caphe cơ bản tốt, hơi nhiều hương liệu	5
Cf uống được, hợp với pha phin cf sữa	5
Đã nhận được hàng, đóng gói đẹp.	5
"Sản phẩm tốt
Giao hàng nhanh
Lần sau ủng hộ tiếp"	5
hàng đúng mô tả, giao hàng thân thiện	5
Cà phê đậm vị giá km giá tốt nữa	5
Sản phẩm ok, mua Tiki yên tâm hàng chính hãng.	5
Sản phẩm và giá sản phẩm rất tốt	5
đóng hộp gọn gàng,cẩn thận,ship nhanh.	5
cà phê thơm, đc tặng kèm gói 200g	5
Đóng gói đẹp, sẩn phẩm đúng mô tả	5
Chưa sử dụng nên chưa biết... hihi	5
sản phẩm đúng như cáo, cho 5 sao	5
Hàng giao nhanh, đóng gói rất cẩn thận	5
Giá tốt, sản phẩm khỏi bàn...	5
sản phẩm rất chất lượng 👍	5
Giao hàng nhanh, gói cf còn mới, HSD rất xa	5
Đong gói cẩn thận. Hàng date xa.	5
rất hài lòng ạ, cafe uống ngon	5
Hàng chuẩn. Giao hàng nhanh. Rất hài lòng	5
Rất ngon, y như ở quán Highland.	5
Uống cũng được, nhưng hạt to quá, pha phin chảy o o.	5
hàng ok nhưng do dịch giao lâu quá	5
Giao hành nhanh, cà phê khá ngon	5
giao trễ hẹn mùa dịch. nhưng vẫn rất ok	5
sản phẩm tốt, giao hàng nhanh	5
giao hàng nhanh trong mùa dịch , date sp xa	5
Hàng đảm bảo chất lượng.	5
giao hàng nhanh, cà phê chất lượng	5
Giao hàng nhanh. Đóng gói kỹ. Chất lượng tuyệt vời.	5
Thương hiệu nổi tiếng nhé	5
Giá rẻ hơn mua ngoài highland	5
Hàng giao nhanh . Đóng gói cẩn thận.	5
giao nhanh, cẩn thận. date xa	5
cafe thơm, pha uống khá ổn	5
Cà phê thơm ngon, date mới	5
Đóng gói kỹ nhận hàng chất nhé	5
Không hài lòng với phần mép dính của sản phẩm do k có zipper để đóng kín gói cafe đang sử dụng dở dang	5
giá hạp lú, giao hàng nhanh	5
Cà phê thơm, nguyên chất	5
rất đúng giờ giao mặc dù dịch	5
Giá ổn, chất lượng chấp nhận được	5
Mình đã quen hương vị của sản phẩm này	5
mẫu mã đẹp chất lượng	5
giao nhanh, date mới tới tận 2023	5
Hợp lý nhưng giao trể hẹn	5
Chất lương. Giao hàng nhanh	5
bột lỏng pha đắng	5
Giao hàng nhanh, dịch vụ tốt	5
Cà Phê ngon, đóng gói tốt.	5
Hương vị mình thích	5
Đúng như giới thiệu	5
ngon bổ rẻ hơn ngoài thị trường	5
Hương vị vẫn như mấy lần mình uống bịt 200g. Hợp ý.	5
Cf ngon, date hơi ngắn nhưng k sao	5
Phù hợp cho những bạn thích vị đậm đặc.	5
Ổn áp trong mùa dịch	5
sản phẩm đóng gói đẹp	5
jjjkkkkkkkkkkkkkkkkkk	5
ngon, đúng vị ở highlands hay uống	5
sản phẩm huong tự nhiên	5
giao hang nhanh. san pham y hinh	5
cà phê chính hãng	5
Cà phê rất ngon nhé	5
Giao nhanh, ngon, rẻ	5
giao hàng nhanh, sản phẩm uy tín	5
Chất lượng. Giao nhanh.	5
Cafe ngon. Mình thích.	5
Cf rất thơm cũng gần giống với ở quán rất đáng mua nha	5
tốt giống như miêu tả	5
Date mới! ❤️	5
cafe ngon, giao hàng nhanh	5
Rất hài lòng	5
Giao hàng nhanh	5
đã nhận được hàng	5
